sales_agent,Total_Revenue,Deals
Anna Snelling,275056.0,448
Boris Faz,261631.0,210
Cassey Cress,450489.0,346
Cecily Lampkin,229800.0,203
Corliss Cosme,421036.0,310
Daniell Hammack,364229.0,259
Darcel Schlecht,1153214.0,747
Donn Cantrell,445860.0,275
Elease Gluck,289195.0,177
Garret Kinder,197773.0,123
Gladys Colclough,345674.0,317
Hayden Neloms,272111.0,202
James Ascencio,413533.0,267
Jonathan Berthelot,284886.0,345
Kami Bicknell,316456.0,362
Kary Hendrixson,454298.0,438
Lajuana Vencill,194632.0,311
Markita Hansen,328792.0,306
Marty Freudenburg,291195.0,281
Maureen Marcano,350395.0,285
Moses Frase,207182.0,260
Niesha Huffines,176961.0,239
Reed Clapper,438336.0,237
Rosalina Dieter,235403.0,160
Rosie Papadopoulos,230169.0,160
Versie Hillebrand,187693.0,361
Vicki Laflamme,478396.0,451
Violet Mclelland,123431.0,261
Wilburn Farren,157640.0,110
Zane Levy,430068.0,349
